dataset_id,proportion_of_village,cluster_type,n,ratio
3,0.7000000000000001,random,8,1
3,0.7100000000000001,hierarchical clustering,8,1
3,0.7100000000000001,k-means,8,1
3,0.7100000000000001,random,8,1
3,0.7200000000000001,hierarchical clustering,8,1
3,0.7200000000000001,k-means,8,1
3,0.7200000000000001,random,8,1
3,0.7300000000000001,hierarchical clustering,8,1
3,0.7300000000000001,k-means,8,1
3,0.7300000000000001,random,8,1
3,0.7400000000000001,hierarchical clustering,8,1
3,0.7400000000000001,k-means,8,1
3,0.7400000000000001,random,8,1
3,0.7500000000000001,hierarchical clustering,8,1
3,0.7500000000000001,k-means,8,1
3,0.7500000000000001,random,8,1
3,0.76,hierarchical clustering,8,1
3,0.76,k-means,8,1
3,0.76,random,8,1
3,0.77,hierarchical clustering,8,1
3,0.77,k-means,8,1
3,0.77,random,8,1
3,0.78,hierarchical clustering,8,1
3,0.78,k-means,8,1
3,0.78,random,8,1
3,0.79,hierarchical clustering,8,1
3,0.79,k-means,8,1
3,0.79,random,8,1
3,0.8,hierarchical clustering,8,1
3,0.8,k-means,8,1
3,0.8,random,8,1
3,0.81,hierarchical clustering,8,1
3,0.81,k-means,8,1
3,0.81,random,8,1
3,0.8200000000000001,hierarchical clustering,8,1
3,0.8200000000000001,k-means,8,1
3,0.8200000000000001,random,8,1
3,0.8300000000000001,hierarchical clustering,8,1
3,0.8300000000000001,k-means,8,1
3,0.8300000000000001,random,8,1
3,0.8400000000000001,hierarchical clustering,8,1
3,0.8400000000000001,k-means,8,1
3,0.8400000000000001,random,8,1
3,0.8500000000000001,hierarchical clustering,8,1
3,0.8500000000000001,k-means,8,1
3,0.8500000000000001,random,8,1
3,0.8600000000000001,hierarchical clustering,8,1
3,0.8600000000000001,k-means,8,1
3,0.8600000000000001,random,8,1
3,0.8700000000000001,hierarchical clustering,8,1
3,0.8700000000000001,k-means,8,1
3,0.8700000000000001,random,8,1
3,0.8800000000000001,hierarchical clustering,8,1
3,0.8800000000000001,k-means,8,1
3,0.8800000000000001,random,8,1
3,0.89,hierarchical clustering,8,1
3,0.89,k-means,8,1
3,0.89,random,8,1
3,0.9,hierarchical clustering,8,1
3,0.9,k-means,8,1
3,0.9,random,8,1
4,0.05,hierarchical clustering,4,0.5
4,0.05,k-means,5,0.625
4,0.05,random,4,0.5
4,0.060000000000000005,hierarchical clustering,5,0.625
4,0.060000000000000005,k-means,4,0.5
4,0.060000000000000005,random,4,0.5
4,0.07,hierarchical clustering,6,0.75
4,0.07,k-means,6,0.75
4,0.07,random,5,0.625
4,0.08,hierarchical clustering,7,0.875
4,0.08,k-means,4,0.5
4,0.08,random,3,0.375
4,0.09,hierarchical clustering,6,0.75
4,0.09,k-means,7,0.875
4,0.09,random,4,0.5
4,0.1,hierarchical clustering,7,0.875
4,0.1,k-means,7,0.875
4,0.1,random,7,0.875
4,0.11,hierarchical clustering,7,0.875
4,0.11,k-means,7,0.875
4,0.11,random,5,0.625
4,0.12000000000000001,hierarchical clustering,6,0.75
4,0.12000000000000001,k-means,7,0.875
4,0.12000000000000001,random,6,0.75
4,0.13,hierarchical clustering,8,1
